source	target	correlation	p_value	source_log_mean_abundance	target_log_mean_abundance	source_prevalence	target_prevalence
g__Mediterraneibacter	g__Ruthenibacterium	0.0802	0.048	6.871054933424183	4.251172068521615	0.7293388429752066	0.493801652892562
g__Mediterraneibacter	g__Sarcina	-0.2377	0.001	6.871054933424183	4.978552208875173	0.7293388429752066	0.2128099173553719
g__Mediterraneibacter	g__Schaedlerella	0.0492	0.2537	6.871054933424183	4.029210216422679	0.7293388429752066	0.3822314049586777
g__Mediterraneibacter	g__Sellimonas	-0.027	0.5465	6.871054933424183	4.545463956753047	0.7293388429752066	0.2644628099173554
g__Mediterraneibacter	g__Streptococcus	-0.2144	0.001	6.871054933424183	7.600561164194048	0.7293388429752066	0.9648760330578512
g__Mediterraneibacter	g__Sutterella	-0.0024	0.956	6.871054933424183	5.853451847111789	0.7293388429752066	0.4152892561983471
g__Mediterraneibacter	g__Terrisporobacter	-0.1034	0.009	6.871054933424183	4.122901962417212	0.7293388429752066	0.2665289256198347
g__Mediterraneibacter	g__Thomasclavelia	-0.2005	0.001	6.871054933424183	5.6451554268064745	0.7293388429752066	0.628099173553719
g__Mediterraneibacter	g__Turicibacter	-0.0878	0.031	6.871054933424183	4.5880554893591485	0.7293388429752066	0.4297520661157025
g__Mediterraneibacter	g__Tyzzerella	-0.0834	0.035	6.871054933424183	3.784611288214841	0.7293388429752066	0.2148760330578512
g__Mediterraneibacter	g__UBA3402	0.031	0.4595	6.871054933424183	2.798412201319961	0.7293388429752066	0.1694214876033057
g__Mediterraneibacter	g__URXU01	-0.0572	0.1678	6.871054933424183	5.865369354810628	0.7293388429752066	0.1384297520661157
g__Mediterraneibacter	g__Veillonella	-0.2646	0.001	6.871054933424183	6.826654795566198	0.7293388429752066	0.6363636363636364
g__Mediterraneibacter	g__Vescimonas	0.113	0.008	6.871054933424183	4.145880095308725	0.7293388429752066	0.3347107438016529
g__Mediterraneibacter	g__Weissella	-0.1346	0.002	6.871054933424183	4.862494013017426	0.7293388429752066	0.5020661157024794
g__Mediterraneibacter	g__Wujia	-0.008	0.8472	6.871054933424183	4.1653377227471	0.7293388429752066	0.134297520661157
g__Megamonas	g__Merdibacter	0.0255	0.4505	6.688185231996184	1.7684662207135164	0.2789256198347107	0.1033057851239669
g__Megamonas	g__Merdimmobilis	-0.0065	0.8312	6.688185231996184	2.184776283809652	0.2789256198347107	0.1756198347107438
g__Megamonas	g__Merdimonas	0.0278	0.4635	6.688185231996184	2.788568608459656	0.2789256198347107	0.1198347107438016
g__Megamonas	g__Merdivicinus	-0.0729	0.0569	6.688185231996184	2.939216467024292	0.2789256198347107	0.1611570247933884
