	statistic	p-value	adjusted-p
PWY0-862	20.98782799030687	2.7704547317616065e-05	0.0002360909249675108
P108-PWY	20.837430673947665	2.9868225439048515e-05	0.0002491137100448302
PWY-6383	20.7366996766248	3.141108071423392e-05	0.00024988454110586587
PWY-6519	20.746293092909582	3.126077171002031e-05	0.00024988454110586587
PWY-7392	20.707500833439553	3.187302820227881e-05	0.00024988454110586587
PPGPPMET-PWY	19.707753066228005	5.254311259294485e-05	0.0004038607869889094
PWY0-42	19.62998877132673	5.462633936052139e-05	0.0004117985582562381
P281-PWY	19.300350260124024	6.441428516873132e-05	0.00047642263747439006
P161-PWY	18.971296838486296	7.593381751437295e-05	0.0005512232678821148
PWY-5747	18.697888532956384	8.705727988430442e-05	0.0006094009591901309
PWY-7332	18.710420415438296	8.651348954230816e-05	0.0006094009591901309
PWY-7234	18.320860758959043	0.00010511764783475373	0.0007229143500214642
KDO-NAGLIPASYN-PWY	17.670343020742038	0.00014552371275491292	0.0009835395758607908
PWY-7328	17.4052509033163	0.00016614902162952273	0.0011039053640469986
PWY-7431	17.030811851516475	0.0002003577727538415	0.001309004115325098
GLUTORN-PWY	16.98476849748954	0.00020502384905377906	0.0013175303086734654
PWY0-1061	16.82347292189411	0.00022224360432003328	0.0014051531111847265
P125-PWY	16.58381001780026	0.00025053673314207346	0.001558895228439568
P461-PWY	16.384590218732228	0.0002767779191205302	0.0016952647546132477
HEMESYN2-PWY	16.201860517933028	0.00030325689937187836	0.001828872377750405
HEXITOLDEGSUPER-PWY	15.896392074669393	0.0003532989281828659	0.0020983815128436884
PWY-5532	15.804992403748994	0.00036981924383386403	0.0021637185609384283
PWY-6397	15.45339755625947	0.00044089721681459285	0.0025416427792841235
PWY-3781	15.334677878434087	0.0004678611756782669	0.002657993925592473
P105-PWY	15.272180959238927	0.00048271194005961824	0.002703186864333862
PWY-5265	15.206286601962615	0.0004988808336858268	0.002754384321194987
ENTBACSYN-PWY	15.114584795682351	0.0005222874778409175	0.002843565157133884
PWY-1269	14.711092720243414	0.0006390381772145636	0.0033851752090284996
NAD-BIOSYNTHESIS-II	14.7336512182369	0.0006318708037769769	0.0033851752090284996
REDCITCYC	14.547402302236833	0.000693540340050809	0.0036249041773322287
PWY-7446	14.489207675346158	0.0007140169633789565	0.003671801764994156
GLYCOLYSIS-TCA-GLYOX-BYPASS	14.46905842237197	0.0007212467752667092	0.003671801764994156
P4-PWY	14.434002054048733	0.0007340003687069307	0.0036888223658091903
PWY-7013	14.37216970786349	0.000757047276576686	0.003756487752127353
TCA-GLYOX-BYPASS	14.214573275730887	0.0008191145338930868	0.003964109843038148
P164-PWY	14.227750686924537	0.000813735369703365	0.003964109843038148
PWY0-781	13.99813755128298	0.0009127315277580425	0.004349132842313676
ARGDEG-PWY	13.956447682590849	0.0009319570376386447	0.004349132842313676
ORNARGDEG-PWY	13.956447682590849	0.0009319570376386447	0.004349132842313676
FASYN-ELONG-PWY	13.845804706262243	0.0009849670657567516	0.004489617322984263
RHAMCAT-PWY	13.858387412930142	0.0009787897421619078	0.004489617322984263
GLYOXYLATE-BYPASS	13.767309193995187	0.0010243934506642943	0.004615657846671303
ECASYN-PWY	13.545908456560625	0.0011443091022106835	0.00509737690984759
PWY-6641	13.472288083184164	0.0011872161982187186	0.005229087075300423
PWY-5022	13.315535802171608	0.0012840092096881048	0.005592573446641523
METHGLYUT-PWY	12.989522035699881	0.0015113363525495718	0.006370363980639055
PWY-5837	13.003950973613428	0.001500472100378226	0.006370363980639055
PWY-5863	13.013261957455597	0.0014935028997530098	0.006370363980639055
DENITRIFICATION-PWY	12.719762082459297	0.0017295724474314684	0.007212685099926975
ARGSYNBSUB-PWY	12.654188464068284	0.0017872194763239996	0.007374631944410609
PWY-6703	12.617352514012737	0.0018204414415416924	0.007433469219628577
ORNDEG-PWY	12.566134467358824	0.0018676632402255477	0.007470652960902191
P221-PWY	12.569763634372437	0.0018642772822943551	0.007470652960902191
PWY0-1338	12.532969463508316	0.0018988919792128685	0.00751884500860045
NAGLIPASYN-PWY	12.438862746394534	0.0019903766770716087	0.007802276574120706
GLYCOGENSYNTH-PWY	12.354732336513052	0.0020758882009064817	0.008056912621340008
P42-PWY	12.227396221569734	0.002212354135341286	0.008502380598566511
PWY-2941	12.199815624334178	0.0022430744941312752	0.008536749531062718
PWY-5659	12.080863496677694	0.002380530901449293	0.00889504686609767
AST-PWY	12.079124357394958	0.0023826018391333043	0.00889504686609767
PWY4FS-7	11.785388760927162	0.002759531443636171	0.010109685288835319
PWY4FS-8	11.785388760927162	0.002759531443636171	0.010109685288835319
PWY-5505	11.742791582026484	0.002818935941312119	0.010231693416614358
PWY-6165	11.561486341012689	0.003086420818784089	0.0109988814633033
HISDEG-PWY	11.57159055400939	0.003070867214423912	0.0109988814633033
PWY-5384	11.494620324122025	0.0031913534854507977	0.011137789913264235
PENTOSE-P-PWY	11.511604195846303	0.003164367460306302	0.011137789913264235
THREOCAT-PWY	11.482570954460934	0.0032106384188746394	0.011137789913264235
PWY0-41	11.458690445975291	0.0032492040413569204	0.011172701615893971
GALACTUROCAT-PWY	11.13393796524997	0.0038220475862565653	0.013028196989674551
P341-PWY	11.001271912166144	0.0040841732575596906	0.013801688939339644
PWY-6892	10.900680318776494	0.00429484351090812	0.014267615731152398
PWY-6269	10.913687261322139	0.004267002748440464	0.014267615731152398
PWY-5509	10.843538121823713	0.004419321679209577	0.014557765531513901
ARO-PWY	10.751160972688012	0.004628231328524645	0.01511888900651384
PWY-6969	10.481317090853508	0.00529676752503147	0.017159775783573028
GLYCOLYSIS-E-D	10.458932938103544	0.0053563823361811235	0.017210671112975414
PWY0-1586	10.426320856118991	0.00544443970858689	0.017351385087528953
PWY-7031	10.293101013774722	0.00581944427677865	0.018396952874977668
THISYN-PWY	10.264607521143489	0.005902945823410926	0.01841422892816996
PWY0-1297	10.259223069487462	0.005918859298340345	0.01841422892816996
PWY-7373	10.199845988643167	0.0060972160676979826	0.018672724207325072
PYRIDNUCSYN-PWY	10.202527737154469	0.0060890459464184275	0.018672724207325072
PWY-5899	10.136014313187843	0.006294952503723723	0.018836804438623657
PWY-5897	10.136014313187843	0.006294952503723723	0.018836804438623657
